index,direction
720,-1
1216,1
2205,-1
2629,1
4697,-1
5268,1
6129,-1
6637,1
7671,-1
8104,1
8704,-1
9244,1
10113,-1
10652,1
11596,-1
11965,1
11986,-1
12485,1
13592,-1
14003,1
14947,-1
15508,1
16374,-1
16840,1
17452,-1
18004,1
18833,-1
19327,1
20246,-1
20762,1
21618,-1
22141,1
23027,-1
23566,1
24384,-1
24870,1
25836,-1
26246,1
27174,-1
27698,1
28567,-1
28992,1
29935,-1
30465,1
31330,-1
31892,1
32655,-1
33040,1
34013,-1
34563,1
35591,-1
36072,1
36931,-1
37442,1
38393,-1
38727,1
39797,-1
40188,1
41334,-1
41667,1
42621,-1
43087,1
44288,-1
44602,1
45525,-1
45971,1
46894,-1
47397,1
48088,-1
48822,1
49636,-1
50303,1
50974,-1
51546,1
52507,-1
53029,1
53755,-1
54165,1
55023,-1
55409,1
55893,-1
56414,1
56992,-1
57509,1
58332,-1
58902,1
59683,-1
60131,1
61069,-1
61665,1
62634,-1
63025,1
63904,-1
64448,1
65375,-1
65979,1
66823,-1
67357,1
67859,-1
68377,1
69306,-1
69959,1
69980,-1
70455,1
