act_med,final
5935.0,1
4856.0,1
4483.0,1
4076.0,1
3531.0,1
3531.0,1
3531.0,1
3466.0,1
3466.0,1
3531.0,1
3466.0,1
3399.0,1
3350.0,1
3124.0,1
3350.0,1
3124.0,1
3124.0,1
3350.0,1
3124.0,1
3117.0,1
3083.0,1
2848.0,1
2762.0,1
2612.0,1
2611.0,1
2577.0,1
2275.0,1
1753.0,1
1709.0,1
1588.0,1
1411.0,1
1139.0,1
921.0,1
921.0,1
873.0,1
899.0,1
899.0,1
899.0,1
899.0,1
873.0,1
835.0,1
835.0,1
829.0,1
801.0,1
801.0,1
801.0,1
829.0,1
835.0,1
829.0,1
829.0,1
801.0,1
801.0,1
801.0,1
801.0,1
795.0,1
773.0,1
773.0,1
764.5,1
764.5,1
784.0,1
798.0,1
784.0,1
784.0,1
784.0,1
764.5,1
747.5,1
764.5,1
784.0,1
796.5,1
799.5,1
815.0,1
805.5,1
819.5,1
830.5,1
830.5,1
819.5,1
819.5,1
830.5,1
833.5,1
854.0,1
886.0,1
886.0,1
910.0,1
928.5,1
940.5,1
946.5,1
953.5,1
966.5,1
1027.5,1
1090.0,1
1110.5,1
1130.5,1
1130.5,1
1130.5,1
1148.0,1
1178.5,1
1178.5,1
1220.0,1
1244.5,1
1251.0,1
1301.0,1
1370.0,1
1401.0,1
1370.0,1
1343.0,1
1303.0,1
1343.0,1
1343.0,1
1370.0,1
1343.0,1
1343.0,1
1333.5,1
1333.5,1
1333.5,1
1343.0,1
1370.0,1
1401.0,1
1401.0,1
1401.0,1
1417.5,1
1441.0,1
1441.0,1
1417.5,1
1401.0,1
1370.0,1
1370.0,1
1370.0,1
1370.0,1
1401.0,1
1370.0,1
1370.0,1
1370.0,1
1343.0,1
1335.0,1
1335.0,1
1331.5,1
1299.5,1
1261.0,1
1261.0,1
1251.0,1
1244.5,1
1243.0,1
1220.0,1
1243.0,1
1243.0,1
1247.5,1
1251.0,1
1247.5,1
1243.0,1
1220.0,1
1220.0,1
1178.5,1
1148.0,1
1136.0,1
1129.5,1
1129.5,1
1136.0,1
1129.5,1
1136.0,1
1141.0,1
1141.0,1
1136.0,1
1129.5,1
1129.5,1
1136.0,1
1129.5,1
1136.0,1
1136.0,1
1141.0,1
1141.0,1
1141.0,1
1141.0,1
1141.0,1
1141.0,1
1136.0,1
1129.5,1
1129.5,1
1127.5,1
1127.5,1
1124.0,1
1124.0,1
1119.5,1
1108.0,1
1096.0,1
1087.0,1
1073.5,1
1073.5,1
1073.5,1
1073.5,1
1073.5,1
1073.5,1
1064.5,1
1062.0,1
1062.0,1
1062.0,1
1050.5,1
1033.0,1
1022.0,1
1016.0,1
1006.5,1
998.0,1
998.0,1
985.5,1
966.5,1
957.5,1
954.5,1
950.5,1
946.5,1
940.5,1
935.0,1
935.0,1
932.5,1
926.0,1
910.0,1
898.0,1
885.0,1
867.0,1
867.0,1
848.0,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
833.5,1
831.5,1
830.0,1
822.0,1
822.0,1
822.0,1
812.5,1
812.5,1
812.5,1
812.5,1
822.0,1
812.5,1
822.0,1
822.0,1
830.0,1
831.5,1
831.5,1
833.5,1
833.5,1
848.0,1
879.0,1
879.0,1
879.0,1
879.0,1
879.0,1
879.0,1
848.0,1
848.0,1
833.5,1
833.5,1
848.0,1
848.0,1
833.5,1
833.5,1
833.5,1
848.0,1
848.0,1
848.0,1
879.0,1
879.0,1
879.0,1
848.0,1
848.0,1
879.0,1
879.0,1
898.0,1
910.0,1
910.0,1
926.0,1
926.0,1
926.0,1
926.0,1
926.0,1
926.0,1
932.5,1
935.0,1
935.0,1
940.5,1
946.5,1
950.5,1
950.5,1
950.5,1
950.5,1
950.5,1
950.5,1
950.5,1
950.5,1
950.5,1
953.0,1
954.5,1
954.5,1
957.5,1
957.5,1
957.5,1
966.5,1
966.5,1
976.5,1
976.5,1
966.5,1
966.5,1
957.5,1
954.5,1
954.5,1
953.0,1
950.5,1
950.5,1
950.5,1
950.5,1
946.5,1
940.5,1
935.0,1
932.5,1
926.0,1
919.5,1
919.5,1
908.5,1
898.0,1
898.0,1
898.0,1
902.0,1
902.0,1
902.0,1
898.0,1
898.0,1
898.0,1
892.0,1
892.0,1
892.0,1
892.0,1
892.0,1
892.0,1
892.0,1
892.0,1
892.0,1
898.0,1
902.0,1
911.5,1
924.5,1
932.5,1
935.0,1
940.5,1
940.5,1
935.0,1
935.0,1
935.0,1
940.5,1
940.5,1
940.5,1
946.5,1
950.5,1
953.0,1
953.5,1
955.0,1
953.5,1
953.5,1
953.5,1
955.0,1
955.0,1
953.5,1
953.0,1
953.0,1
953.5,1
953.5,1
953.0,1
953.0,1
953.0,1
953.0,1
953.5,1
955.0,1
955.0,1
955.0,1
955.0,1
955.0,1
957.5,1
967.0,1
977.0,1
977.0,1
977.0,1
980.5,1
977.0,1
977.0,1
977.0,1
977.0,1
980.5,1
980.5,1
989.0,1
989.0,1
996.5,1
996.5,1
989.0,1
996.5,1
989.0,1
996.5,1
998.0,1
998.0,1
998.0,1
998.0,1
999.5,1
999.5,1
999.0,1
999.5,1
1000.0,1
1012.0,1
1012.0,1
1012.0,1
1000.0,1
999.0,1
999.0,1
999.0,1
1000.0,1
1000.0,1
1000.0,1
1012.0,1
1014.0,1
1018.0,1
1018.0,1
1026.0,1
1026.0,1
1026.0,1
1018.0,1
1018.0,1
1014.0,1
1012.0,1
1000.0,1
999.0,1
997.0,1
996.0,1
982.0,1
996.0,1
996.0,1
996.0,1
982.0,1
979.0,1
975.0,1
975.0,1
975.0,1
975.0,1
975.0,1
975.0,1
975.0,1
956.0,1
954.0,1
953.0,1
953.0,1
942.0,1
937.0,1
934.0,1
931.0,1
927.0,1
918.0,1
918.0,1
905.0,1
905.0,1
905.0,1
897.0,1
887.0,1
877.0,1
877.0,1
877.0,1
876.0,1
872.0,1
868.0,1
868.0,1
861.0,1
858.0,1
852.0,1
852.0,1
831.0,1
831.0,1
831.0,1
831.0,1
831.0,1
852.0,1
858.0,1
858.0,1
858.0,1
858.0,1
858.0,1
852.0,1
858.0,1
852.0,1
831.0,1
823.0,1
815.0,1
810.0,1
806.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
804.0,1
801.0,1
801.0,1
796.0,1
796.0,1
793.0,1
791.5,1
793.0,1
791.5,1
793.0,1
794.5,1
796.0,1
794.5,1
793.0,1
794.5,1
793.0,1
791.5,1
790.0,1
789.5,1
789.0,1
785.5,1
781.5,1
774.0,1
767.0,1
761.5,1
756.0,1
753.0,1
750.0,1
743.0,1
738.0,1
736.0,1
736.0,1
736.0,1
736.0,1
736.0,1
732.0,1
732.0,1
730.0,1
730.0,1
