bts,gts,bt,gt,nap,tbt,waso,sol,soi,tst,nw,eff
2021-05-27 23:42:15,2021-05-28 06:54:15,752,1184,False,432.0,18.0,0.0,0.0,414.0,11.0,0.9583333333333334
2021-05-28 23:30:15,2021-05-29 07:16:15,2180,2646,False,466.0,25.0,0.0,1.0,440.0,12.0,0.944206008583691
2021-05-30 09:28:15,2021-05-30 12:58:15,3933,4143,False,210.0,0.0,8.0,5.0,197.0,1.0,0.9380952380952381
2021-05-30 22:18:15,2021-05-31 07:58:15,4703,5283,False,580.0,27.0,0.0,0.0,553.0,13.0,0.9534482758620689
2021-05-31 23:24:15,2021-06-01 07:14:15,6171,6641,False,470.0,12.0,0.0,2.0,456.0,8.0,0.9702127659574468
2021-06-02 00:10:15,2021-06-02 07:19:15,7657,8086,False,429.0,23.0,0.0,0.0,406.0,6.0,0.9463869463869464
2021-06-02 23:05:15,2021-06-03 07:47:15,8717,9239,False,522.0,30.0,0.0,0.0,492.0,7.0,0.9425287356321839
2021-06-04 00:01:54,2021-06-04 08:29:54,10178,10686,False,508.0,39.0,0.0,0.0,469.0,8.0,0.9232283464566929
2021-06-04 23:36:54,2021-06-05 05:20:54,11593,11937,False,344.0,4.0,9.0,10.0,321.0,4.0,0.9331395348837209
2021-06-06 00:34:54,2021-06-06 07:30:54,12121,12537,False,416.0,15.0,0.0,0.0,401.0,10.0,0.9639423076923077
2021-06-07 00:13:54,2021-06-07 08:39:54,13540,14046,False,506.0,56.0,0.0,0.0,450.0,9.0,0.8893280632411067
2021-06-07 23:52:54,2021-06-08 08:53:54,14959,15500,False,541.0,12.0,0.0,0.0,529.0,6.0,0.977818853974122
2021-06-08 23:26:54,2021-06-09 07:17:54,16373,16844,False,471.0,21.0,0.0,0.0,450.0,6.0,0.9554140127388535
2021-06-10 00:25:54,2021-06-10 07:55:54,17493,17943,False,450.0,9.0,9.0,1.0,431.0,4.0,0.9577777777777777
2021-06-11 00:12:44,2021-06-11 06:34:44,18902,19284,False,382.0,4.0,0.0,0.0,378.0,2.0,0.9895287958115183
2021-06-12 00:05:44,2021-06-12 08:33:44,20247,20755,False,508.0,32.0,0.0,0.0,476.0,8.0,0.937007874015748
2021-06-12 23:40:44,2021-06-13 08:10:44,21649,22159,False,510.0,23.0,0.0,1.0,486.0,9.0,0.9529411764705882
2021-06-13 23:53:44,2021-06-14 08:07:44,23102,23596,False,494.0,36.0,0.0,0.0,458.0,11.0,0.9271255060728745
2021-06-15 00:53:44,2021-06-15 08:20:44,24457,24904,False,447.0,23.0,0.0,0.0,424.0,7.0,0.9485458612975392
2021-06-15 23:48:44,2021-06-16 07:09:44,25832,26273,False,441.0,1.0,0.0,5.0,435.0,2.0,0.9863945578231292
2021-06-17 02:18:44,2021-06-17 08:14:44,27264,27620,False,356.0,8.0,0.0,2.0,346.0,5.0,0.9719101123595506
2021-06-18 00:23:57,2021-06-18 07:42:57,28587,29026,False,439.0,14.0,0.0,0.0,425.0,7.0,0.9681093394077449
2021-06-19 00:07:57,2021-06-19 08:42:57,30011,30526,False,515.0,7.0,1.0,2.0,505.0,5.0,0.9805825242718447
2021-06-19 22:50:57,2021-06-20 07:45:57,31360,31895,False,535.0,42.0,1.0,0.0,492.0,15.0,0.9196261682242991
2021-06-20 23:55:57,2021-06-21 06:56:57,32642,33063,False,421.0,3.0,0.0,3.0,415.0,3.0,0.9857482185273159
2021-06-21 23:20:57,2021-06-22 07:35:57,34047,34542,False,495.0,25.0,0.0,7.0,463.0,7.0,0.9353535353535354
2021-06-23 00:59:57,2021-06-23 09:04:57,35586,36071,False,485.0,6.0,0.0,6.0,473.0,5.0,0.9752577319587629
2021-06-24 00:31:57,2021-06-24 08:22:57,36979,37450,False,471.0,11.0,0.0,0.0,460.0,7.0,0.9766454352441614
2021-06-24 23:35:57,2021-06-25 06:36:57,38363,38784,False,421.0,15.0,0.0,0.0,406.0,10.0,0.9643705463182898
2021-06-25 23:13:57,2021-06-26 07:51:57,39781,40299,False,518.0,93.0,0.0,0.0,425.0,6.0,0.8204633204633205
2021-06-27 00:22:57,2021-06-27 07:03:57,41280,41681,False,401.0,3.0,0.0,0.0,398.0,2.0,0.9925187032418953
2021-06-27 23:02:57,2021-06-28 07:03:57,42640,43121,False,481.0,25.0,0.0,0.0,456.0,9.0,0.9480249480249481
2021-06-29 02:46:57,2021-06-29 08:00:57,44304,44618,False,314.0,19.0,0.0,6.0,289.0,6.0,0.9203821656050956
2021-06-30 00:50:57,2021-06-30 08:13:57,45572,46015,False,443.0,25.0,0.0,1.0,417.0,7.0,0.9413092550790068
2021-07-01 01:17:12,2021-07-01 08:45:12,46946,47394,False,448.0,21.0,0.0,0.0,427.0,9.0,0.953125
2021-07-01 18:23:12,2021-07-01 20:57:12,47972,48126,False,154.0,67.0,0.0,0.0,87.0,13.0,0.564935064935065
2021-07-01 22:05:12,2021-07-02 09:28:12,48194,48877,False,683.0,63.0,0.0,0.0,620.0,10.0,0.9077598828696926
2021-07-02 22:24:12,2021-07-03 09:35:12,49653,50324,False,671.0,76.0,0.0,0.0,595.0,20.0,0.886736214605067
2021-07-03 22:16:12,2021-07-04 07:14:12,51024,51562,False,538.0,31.0,0.0,1.0,506.0,10.0,0.9405204460966543
2021-07-04 23:45:12,2021-07-05 07:32:12,52553,53020,False,467.0,18.0,0.0,4.0,445.0,12.0,0.9528907922912205
2021-07-05 23:48:12,2021-07-06 07:40:12,53733,54205,False,472.0,15.0,0.0,3.0,454.0,10.0,0.961864406779661
2021-07-07 00:17:12,2021-07-07 07:48:12,55014,55465,False,451.0,17.0,0.0,1.0,433.0,11.0,0.9600886917960089
2021-07-07 23:38:12,2021-07-08 11:04:12,55864,56550,False,686.0,78.0,0.0,0.0,608.0,14.0,0.8862973760932945
2021-07-08 23:08:25,2021-07-09 07:20:25,56987,57479,False,492.0,33.0,0.0,0.0,459.0,10.0,0.9329268292682927
2021-07-09 19:19:25,2021-07-09 21:23:25,58198,58322,False,124.0,9.0,0.0,2.0,113.0,2.0,0.9112903225806451
2021-07-09 22:29:25,2021-07-10 07:56:25,58388,58955,False,567.0,55.0,0.0,0.0,512.0,15.0,0.9029982363315696
2021-07-10 22:40:25,2021-07-11 07:20:25,59622,60142,False,520.0,31.0,0.0,0.0,489.0,6.0,0.9403846153846154
2021-07-12 00:19:25,2021-07-12 08:52:25,61161,61674,False,513.0,23.0,0.0,0.0,490.0,15.0,0.9551656920077972
2021-07-13 00:09:25,2021-07-13 07:40:25,62591,63042,False,451.0,18.0,0.0,0.0,433.0,6.0,0.9600886917960089
2021-07-13 22:52:25,2021-07-14 07:35:25,63954,64477,False,523.0,50.0,0.0,0.0,473.0,12.0,0.904397705544933
2021-07-14 23:36:25,2021-07-15 07:40:25,65438,65922,False,484.0,12.0,0.0,4.0,468.0,8.0,0.9669421487603306
2021-07-15 23:45:25,2021-07-16 07:45:25,66887,67367,False,480.0,13.0,0.0,0.0,467.0,6.0,0.9729166666666667
2021-07-16 22:19:25,2021-07-17 07:48:25,67835,68404,False,569.0,56.0,0.0,0.0,513.0,17.0,0.9015817223198594
2021-07-17 22:53:25,2021-07-18 07:28:25,69309,69824,False,515.0,32.0,0.0,20.0,463.0,12.0,0.8990291262135922
2021-07-18 23:53:25,2021-07-19 07:57:25,69990,70474,False,484.0,19.0,0.0,1.0,464.0,15.0,0.9586776859504132
