start,end,length
0,71,71
91,186,95
309,371,62
398,460,62
487,518,31
551,624,73
664,720,56
739,785,46
1213,1258,45
1327,1342,15
1375,1410,35
1448,1465,17
1522,1535,13
1569,1612,43
2702,2754,52
2790,3075,285
5746,5784,38
5842,5858,16
5914,5930,16
5994,6095,101
6158,6231,73
6234,6294,60
6314,6439,125
6461,6509,48
7001,7035,34
7134,7149,15
7219,7239,20
7255,7388,133
7514,7551,37
7577,7659,82
7700,7748,48
7782,7886,104
7923,7960,37
7979,8009,30
8439,8486,47
8507,8520,13
8543,8858,315
8890,8919,29
9101,9113,12
9326,9364,38
9902,9927,25
9974,10077,103
10094,10231,137
10389,10401,12
10630,10697,67
12614,13584,970
16164,16212,48
16253,16313,60
17360,17605,245
17661,17789,128
17809,17822,13
17852,17877,25
17888,17959,71
18464,18528,64
18583,18962,379
19188,19196,8
21574,21629,55
21678,21697,19
21744,21845,101
21914,22002,88
22113,22124,11
22859,22902,43
22945,23013,68
23065,23134,69
23154,23206,52
23278,23300,22
23330,23382,52
23571,23585,14
23641,23646,5
23670,23740,70
24302,24321,19
24801,24846,45
24988,25010,22
25054,25105,51
25865,26010,145
26052,26124,72
26168,26288,120
26355,26489,134
26510,26730,220
27183,27231,48
27288,27315,27
27391,27464,73
27489,27498,9
27544,27557,13
27581,27601,20
27620,27712,92
27740,27762,22
27781,27892,111
27910,27964,54
28060,28084,24
28548,28578,30
28601,28767,166
28836,28889,53
28934,29030,96
29130,29218,88
29332,29693,361
30064,30331,267
30446,31001,555
31478,31494,16
31545,31621,76
31697,31742,45
31774,31801,27
31831,31877,46
31965,31966,1
31965,32024,59
32088,32449,361
33280,33312,32
33336,33415,79
33467,33517,50
33627,33736,109
33765,33853,88
34522,34527,5
34597,34908,311
34945,35157,212
35177,35314,137
35953,35975,22
36116,36124,8
36329,36371,42
36386,36536,150
36556,36753,197
37216,37267,51
37408,37424,16
37490,37508,18
37560,37596,36
38053,38067,14
38827,38847,20
39128,39151,23
39248,39579,331
39602,39629,27
40133,40303,170
40995,41046,51
41506,41535,29
42295,42307,12
42404,42438,34
42947,42957,10
43040,43066,26
44441,44496,55
45902,45913,11
46195,46203,8
46223,46231,8
46324,46334,10
46750,47370,620
47520,47569,49
47595,47601,6
47623,47822,199
47961,48000,39
48074,48392,318
48780,48804,24
48925,48997,72
49040,49057,17
49094,49124,30
49150,49163,13
49234,49556,322
49580,49728,148
50205,50276,71
50429,50459,30
50502,50541,39
50587,50624,37
50656,51295,639
51612,51676,64
51774,51804,30
51898,51918,20
51953,51962,9
51995,52006,11
52031,52125,94
52260,52305,45
52339,52424,85
53140,53220,80
54603,54622,19
55180,55232,52
55282,55372,90
55393,55420,27
55889,55924,35
55951,56213,262
56262,56337,75
56381,56387,6
56429,56464,35
56769,56874,105
57408,57430,22
57597,57626,29
57917,57929,12
57952,58033,81
58056,58135,79
58637,58660,23
58843,59394,551
59469,60286,817
60350,60598,248
61819,61826,7
62111,62167,56
62299,62392,93
62913,62936,23
62966,62985,19
63132,63471,339
63497,63730,233
63749,63821,72
64353,64360,7
64413,64428,15
64519,64519,0
65026,65138,112
65140,65321,181
66549,66563,14
66593,66688,95
66717,66778,61
67195,67249,54
67982,68189,207
68938,68966,28
69004,69064,60
69311,70383,1072
70745,70777,32
71569,71975,406
72276,72299,23
72305,72341,36
72367,72505,138
73097,73145,48
73389,73563,174
73589,73723,134
73878,73937,59
74505,75324,819
75344,75389,45
75869,75884,15
75906,75945,39
